,particle,material,thickness,p,cos_theta,efficiency,hit_additional_layer,all
282,single_n0,ld,10,0.75,0.35000000000000003,0.004188481675392671,4.0,955.0
283,single_n0,ld,10,0.75,0.45,0.0010683760683760685,1.0,936.0
284,single_n0,ld,10,0.75,0.55,0.0041797283176593526,4.0,957.0
285,single_n0,ld,10,0.75,0.6500000000000001,0.006593406593406593,6.0,910.0
286,single_n0,ld,10,0.75,0.75,0.005411255411255411,5.0,924.0
287,single_n0,ld,10,0.75,0.8500000000000001,0.009533898305084746,9.0,944.0
288,single_n0,ld,10,0.8500000000000001,0.05,0.0021413276231263384,2.0,934.0
289,single_n0,ld,10,0.8500000000000001,0.15000000000000002,0.0010638297872340426,1.0,940.0
290,single_n0,ld,10,0.8500000000000001,0.25,0.0033594624860022394,3.0,893.0
291,single_n0,ld,10,0.8500000000000001,0.35000000000000003,0.0,0.0,952.0
292,single_n0,ld,10,0.8500000000000001,0.45,0.0010638297872340426,1.0,940.0
293,single_n0,ld,10,0.8500000000000001,0.55,0.005567928730512249,5.0,898.0
294,single_n0,ld,10,0.8500000000000001,0.6500000000000001,0.005434782608695652,5.0,920.0
295,single_n0,ld,10,0.8500000000000001,0.75,0.003393665158371041,3.0,884.0
296,single_n0,ld,10,0.8500000000000001,0.8500000000000001,0.00544069640914037,5.0,919.0
297,single_n0,ld,10,0.95,0.05,0.0010471204188481676,1.0,955.0
298,single_n0,ld,10,0.95,0.15000000000000002,0.002178649237472767,2.0,918.0
299,single_n0,ld,10,0.95,0.25,0.0,0.0,935.0
300,single_n0,ld,10,0.95,0.35000000000000003,0.0020768431983385254,2.0,963.0
301,single_n0,ld,10,0.95,0.45,0.0022197558268590455,2.0,901.0
302,single_n0,ld,10,0.95,0.55,0.005175983436853002,5.0,966.0
303,single_n0,ld,10,0.95,0.6500000000000001,0.0010741138560687433,1.0,931.0
304,single_n0,ld,10,0.95,0.75,0.0031512605042016808,3.0,952.0
305,single_n0,ld,10,0.95,0.8500000000000001,0.002280501710376283,2.0,877.0
306,single_n0,ld,10,1.05,0.05,0.004314994606256742,4.0,927.0
307,single_n0,ld,10,1.05,0.15000000000000002,0.004201680672268907,4.0,952.0
308,single_n0,ld,10,1.05,0.25,0.002129925452609159,2.0,939.0
309,single_n0,ld,10,1.05,0.35000000000000003,0.0022753128555176336,2.0,879.0
310,single_n0,ld,10,1.05,0.45,0.0,0.0,914.0
311,single_n0,ld,10,1.05,0.55,0.002162162162162162,2.0,925.0
312,single_n0,ld,10,1.05,0.6500000000000001,0.004381161007667032,4.0,913.0
313,single_n0,ld,10,1.05,0.75,0.0033821871476888386,3.0,887.0
314,single_n0,ld,10,1.05,0.8500000000000001,0.006211180124223602,6.0,966.0
315,single_n0,ld,10,1.1500000000000001,0.05,0.0,0.0,889.0
316,single_n0,ld,10,1.1500000000000001,0.15000000000000002,0.004530011325028313,4.0,883.0
317,single_n0,ld,10,1.1500000000000001,0.25,0.0010718113612004287,1.0,933.0
318,single_n0,ld,10,1.1500000000000001,0.35000000000000003,0.00544069640914037,5.0,919.0
319,single_n0,ld,10,1.1500000000000001,0.45,0.0,0.0,919.0
320,single_n0,ld,10,1.1500000000000001,0.55,0.0011025358324145535,1.0,907.0
321,single_n0,ld,10,1.1500000000000001,0.6500000000000001,0.0030241935483870967,3.0,992.0
322,single_n0,ld,10,1.1500000000000001,0.75,0.004296455424274973,4.0,931.0
323,single_n0,ld,10,1.1500000000000001,0.8500000000000001,0.0,0.0,915.0
324,single_n0,csi,0,0.05,0.05,0.0010351966873706005,1.0,966.0
325,single_n0,csi,0,0.05,0.15000000000000002,0.0,0.0,925.0
326,single_n0,csi,0,0.05,0.25,0.0011037527593818985,1.0,906.0
327,single_n0,csi,0,0.05,0.35000000000000003,0.002150537634408602,2.0,930.0
328,single_n0,csi,0,0.05,0.45,0.002061855670103093,2.0,970.0
329,single_n0,csi,0,0.05,0.55,0.0,0.0,921.0
330,single_n0,csi,0,0.05,0.6500000000000001,0.0010559662090813093,1.0,947.0
331,single_n0,csi,0,0.05,0.75,0.00202020202020202,2.0,990.0
332,single_n0,csi,0,0.05,0.8500000000000001,0.0010845986984815619,1.0,922.0
333,single_n0,csi,0,0.15000000000000002,0.05,0.0,0.0,913.0
334,single_n0,csi,0,0.15000000000000002,0.15000000000000002,0.0011160714285714285,1.0,896.0
335,single_n0,csi,0,0.15000000000000002,0.25,0.002352941176470588,2.0,850.0
336,single_n0,csi,0,0.15000000000000002,0.35000000000000003,0.0,0.0,898.0
337,single_n0,csi,0,0.15000000000000002,0.45,0.0010834236186348862,1.0,923.0
338,single_n0,csi,0,0.15000000000000002,0.55,0.0,0.0,890.0
339,single_n0,csi,0,0.15000000000000002,0.6500000000000001,0.0,0.0,887.0
340,single_n0,csi,0,0.15000000000000002,0.75,0.0,0.0,928.0
341,single_n0,csi,0,0.15000000000000002,0.8500000000000001,0.0,0.0,879.0
342,single_n0,csi,0,0.25,0.05,0.0,0.0,945.0
343,single_n0,csi,0,0.25,0.15000000000000002,0.0,0.0,950.0
344,single_n0,csi,0,0.25,0.25,0.0,0.0,938.0
345,single_n0,csi,0,0.25,0.35000000000000003,0.0,0.0,875.0
